stockid,name,manufacturer,model,serialid,inspection_date,installation_date,service_date,last_results
343,hoist,guldmann,gh2,120001-2129-2002,,2002-08-30,,5/4/17 - not needing service until they get a new pupil. Pupil who was using this has moved schools
344,hoist,guldmann,gh3,TBA,,,,
345,hoist,guldmann,gh3,TBA,,,,
346,hoist,guldmann,gh3,TBA,,,,
347,hoist,guldmann,gh3,TBA,,,,
348,hoist,guldmann,gh3,TBA,,,,
349,29 x screens,eganmed,eganmed,screens,,2014-12-01,2015-12-01,"31/03/15 - scott/ian re-fixed screen into timber frame, missed timber grounds at installation, checked all screens fixings-safe"
350,hoist,guldmann,gh2,89 -1000,,2006-02-21,2007-02-21,
352,hoist,guldmann,gl3,24 -1000,,2003-11-17,2004-11-17,
353,hoist,guldmann,gh2,120001-2451-2004,,2004-10-11,2014-01-31,
355,hoist,guldmann,gh1,32752,,2014-07-08,2017-09-26,14/3/2017 Thorough inspection carried out by Tom
356,screens,silentia,"15 sec. h1.85, l 3.75",screens,,2008-02-25,,
360,hoist,guldmann,gh2-dc,120001-3648-2008,,2008-09-09,2017-09-26,14/3/2017 Thorough inspection carried out by Tom
361,scales,guldmann,250kg,1113461-xxxx-xxxx,,2010-02-22,2011-02-21,
362,screens,silentia,"15 sec. h1.85, l 3.75",screens,,2008-04-04,,
363,hoist,guldmann,gh2-dc,120001-2188-2008,,2008-06-16,2017-09-26,14/3/2017 Thorough inspection carried out by Tom
364,hoist,guldmann,gh2-dc,120001-3649-2008,,2008-07-29,2017-09-26,14/3/2017 Thorough inspection carried out by Tom
365,hoist,guldmann,gh2-dc,120001-3651-2008,,2008-07-29,2017-09-26,04/04/17 Hoist repaired by Tom. 2 Batteries replaced. PC Board used from stock in St Finbarrs Ward.
366,hoist,guldmann,gh2-dc,120001-3112-2008,,2008-11-04,2017-09-26,14/3/2017 Thorough inspection carried out by Tom
367,hoist,guldmann,gh2-dc,120001-3114-2008,,2008-11-04,2018-04-23,09/05/2017 repaired Hoist. Handset eplaced.
368,hoist,guldmann,gh2-dc,120001-3646-2008,,2009-01-13,2017-09-26,14/3/2017 Thorough inspection carried out by Tom
359,hoist,guldmann,gh2-dc,120001-3647-2008,,2008-09-09,,
357,hoist,guldmann,gh1,56936,,2012-04-26,2017-09-26,14/3/2017 Thorough inspection carried out by Tom
358,hoist,guldmann,gh1,32753,2016-03-01,2014-07-08,2017-09-26,14/3/2017 Thorough inspection carried out by Tom
369,hoist,guldmann,gh2-dc,120001-3355-2006,,2006-09-05,2012-08-22,
370,hoist,guldmann,gh2-dc,120001-3354-2006,,2006-09-05,2012-08-22,
373,gh2,guldmann,8.5m x 3m midi rails,120001-5052-2009,,2010-04-19,2014-07-29,full service by Ian
374,hoist,guldmann,gh2-dc,120001-2367-2007,,2009-06-24,2010-06-23,
375,shower bed,ropox,aqualine,N40-1146,,2009-06-24,2010-06-23,
376,bathtub,beka,k2,0264.22.09,,2009-06-24,2010-06-23,
377,hoist,guldmann,gh1 gantry,xxx,,2011-11-18,2012-11-17,
378,hoist,guldmann,gh1,56930,,2012-10-30,2013-10-30,
379,bath,beka,avero classic,0679.35.11,,2011-09-15,2012-09-14,
386,hoist,guldmann,gh2-dc,12001-3432-2006,,2006-09-06,2013-12-06,
387,hoist,guldmann,gh2-dc,12001-3375-2006,,2006-09-06,2013-12-06,
381,screens,eganmed,"15 sec. h1.85, l 3.75",,,2015-03-23,,breffni Maintenance removed existing screens and dumped them in the tip - they were needed to complete all the bed screen privac
388,screens,silentia,"15 sec. h1.85, l 3.75",,,2008-03-11,,
382,hoist,guldmann,gh2-dc,120001-8400,,2005-08-31,2013-12-11,049 9526 782 or 049 9525 525
384,hoist,guldmann,gh2-dc,120001-3003-2005,,2005-08-31,2013-12-06,
385,hoist,guldmann,gh2-dc,120001-3004-2005,,2005-09-01,2013-12-06,
383,hoist,guldmann,gh3 200 110 0000,08401,,2011-04-07,2013-12-06,
389,hoist,guldmann,gh3,95713,,2015-09-03,2017-02-23,23/2/2016 Ian and Kristoff upgraded the system to full room cover
390,hoist,guldmann,gh3,TBA,,,,
391,hoist,guldmann,gh3,TBA,,,,
392,changing bench,ropox,vario,0182,,2005-10-20,2009-09-15,20/01/2017 exchange cover panel and replace securing bolt by krsytoff
393,changing bench,ropox,vario,0270,,2005-10-20,2015-10-24,12/10/16 gaurd release required
394,bath,beka,avero classic,0743.04.12,,2011-11-22,2015-07-29,23/1/2017 Krystoff replaced bath pump
395,hoist,guldmann,gh2,120001-2927-2007,,2008-04-28,2009-04-27,
396,4.5m x 3.4m room cover,guldmann,gh3,27428,,2014-02-11,2015-02-11,
397,screens,silentia,"15 sec. h1.85, l 3.75",screens,,2008-04-04,,
398,hoist,guldmann,gh1,56928,2016-03-01,2012-07-11,2017-09-15,14/3/2017 Thorough inspection carried out by Tom
399,hoist,guldmann,gh2,120001-2135-2008,2016-03-01,2013-02-12,2017-09-26,14/3/2017 Thorough inspection carried out by Tom
400,hoist,guldmann,gh1,64004,,2016-07-29,2017-09-29,"14/3/2017 Thorough inspection carried out by Tom, hoist catching on wall"
401,hoist,guldmann,gh2-ac,120001-3472-2010,,2010-09-20,2017-09-26,14/3/2017 Thorough inspection carried out by Tom
402,hoist,guldmann,gh3,17666,2016-03-01,2013-12-13,2017-09-26,14/3/2017 Thorough inspection carried out by Tom
403,hoist,guldmann,gh3,17675,,2013-12-13,2017-09-26,14/3/2017 Thorough inspection carried out by Tom
404,hoist,guldmann,gh1,35770,,2013-02-12,2017-09-26,14/3/2017 Thorough inspection carried out by Tom
405,hoist,guldmann,gh1 on 4m x 3m,120001-3647-2008,,,2016-09-26,09/05/2017 hoist repaired. issue with charging. No charge.
406,hoist,guldmann,gh2-ac,120001-3471-2010,,2010-09-20,2017-09-26,14/3/2017 Thorough inspection carried out by Tom
407,hoist,guldmann,gh1 200 110 0000,48237,2018-03-01,2011-08-15,2017-09-26,14/3/2017 Thorough insepction carried out by Tom - handset required at next service
408,chair,cura seating,wheelchair,,,2013-04-11,,ref: john collins
409,changing bench,ropox,vario,n40-1147,,2009-09-07,2012-11-16,
410,bathtub,beka,k2,0175.27.07,,,2017-04-27,27/07/2016 thorough service carried out
411,bathtub,beka,k2,0145.33.06,,,2017-04-27,27/4/2016 full service carried out by Kristoff
420,gh2-dc,guldmann,hoist,120001-3113-2008,,2008-11-12,2017-08-18,18/8/16 Thorough service carried out by ian
418,stairlift,meditek,140 deluxe,,,2006-04-18,,
419,gh2-dc,guldmann,hoist,120001-3463-2008,,2008-11-12,2017-08-18,18/8/16 thorough service carried out
421,hoist,guldmann,gh1,48241,,2011-10-10,2015-01-13,
422,erfi system,erfi,erfi,,,2011-10-10,2012-10-09,
425,hoist,guldmann,gh2-dc,120001-1802-2006,,2007-09-13,2009-08-25,
424,changing bench,ropox,vario,130 -1000,,2006-06-01,2008-09-13,
423,changing bench,ropox,vario,126 -1000,,2006-06-01,2007-06-01,
426,bed,wi-bo,sentida,2011111064-0002,,2011-12-20,2012-12-19,
427,bed,wi-bo,sentida,H24400900026,,2011-11-30,2012-11-29,
428,bed,wi-bo,sentida,H2440090017,,2011-11-30,2012-11-29,
429,bed,wi-bo,sentida,H2404630002,,2011-11-30,2012-11-29,
430,bed,wi-bo,sentida,H24400900013,,2011-11-30,2012-11-29,
431,bed,wi-bo,sentida,H24400900014,,2011-11-30,2012-11-29,
432,bed,wi-bo,sentida,2011111064-0003,,2011-12-20,2012-12-19,
433,bed,wi-bo,contempora,H23007800020,,2011-11-21,2012-11-20,
434,bed,wi-bo,sentida,H24046344444,,2011-11-30,2012-11-29,
435,bed,wi-bo,sentida,H24400900020,,2011-11-30,2012-11-29,
436,bed,wi-bo,sentida,H24400900008,,2011-11-30,2012-11-29,
437,bed,wi-bo,contempora,H23007800023,,2011-11-21,2012-11-20,
438,bed,wi-bo,sentida,H24046300029,,2011-11-30,2012-11-29,
439,bed,wi-bo,sentida,H24046300027,,2011-11-30,2012-11-29,
440,bed,wi-bo,sentida,H24046300028,,2011-11-30,2012-11-29,
441,bed,wi-bo,sentida,H24400900018,,2011-11-30,2012-11-29,
442,bed,wi-bo,sentida,2011111064-0001,,2011-12-20,2012-12-19,
443,bed,wi-bo,sentida,H24046300026,,2011-11-30,2012-11-29,
444,bed,wi-bo,sentida,H24400900015,,2011-11-30,2012-11-29,
445,bed,wi-bo,sentida,H24400900012,,2011-11-30,2012-11-29,
446,bed,wi-bo,sentida,H91179600040,,2011-03-03,2012-03-02,
447,air pressure relief mattress,promedis,512,P100901910,,2011-03-03,2012-03-02,
448,bed,wi-bo,sentida,H77210100002,,2011-03-03,2012-03-02,
449,air pressure relief mattress,promedis,512,P100901915,,2011-03-03,2012-03-02,
450,bed,wi-bo,sentida,H10064800010,,2011-03-03,2012-03-02,
451,air pressure relief mattress,promedis,834,P100901913,,2011-03-03,2012-03-02,
452,bed,wi-bo,sentida,H92163500002,,2011-03-03,2012-03-02,
453,air pressure relief mattress,promedis,834,P100901912,,2011-03-03,2012-03-02,
454,bed,wi-bo,sentida,H10064800007,,2011-03-03,2012-03-02,
455,air pressure relief mattress,promedis,834,P100901914,,2011-03-03,2012-03-02,
456,bed,wi-bo,sentida,H77210100017,,2011-03-03,2012-03-02,
457,air pressure relief mattress,promedis,834,P100901916,,2011-03-03,2012-03-02,
458,bed,wi-bo,sentida,H98031000014,,2011-03-03,2012-03-02,
459,air pressure relief mattress,promedis,512,P100901909,,2011-03-03,2012-03-02,
460,bed,wi-bo,sentida,HH1006480008,,2011-03-03,2012-03-02,
461,air pressure relief mattress,promedis,512,P100901911,,2011-03-03,2012-03-02,
463,bathtub,beka,avero classic,0479.09.10,,2010-04-06,2011-04-05,
464,gh1 hoist onto 6m,guldmann,guldmann,0000003341,,2017-02-20,2018-02-20,20/2/17 - tom and krsytoff installed system
465,changing bench,ropox,vario,xxxxxxx,,2010-01-25,2011-01-24,
466,3m x 4m on b  rails,guldmann,gh3 250kg,27426,,2013-10-17,2018-04-26,26/04/17 Full Service done by Krzys.
467,3m + 3.5m x 4m on b  rails,guldmann,gh3 250kg,27438,,2013-10-17,2018-04-26,26/014/17 Full Service done by Krzys.
468,3m x 5m on b rails,guldmann,gh3 250kg,27421,,2013-10-17,2018-04-25,25/04/17 Full service done by Tom.
469,3m x 5m on b rails,guldmann,gh3 250kg,27422,,2013-10-17,2018-04-25,25/04/17 Full service done by Tom.
470,2m x 5m on b / a rails,guldmann,gh3 250kg,27435,,2013-10-17,2018-04-25,25/04/17 Full service done by Tom.
471,3m + 3.5m x 4m on b  rails,guldmann,gh3 250kg,27432,,2013-10-17,2018-04-26,26/04/17 Full service done by  Krzys
472,3m x  3.5m on b rails,guldmann,gh3 250kg,27434,,2013-10-17,2018-04-26,25/04/17 Full service done by Tom.
473,4.5m x 5m on b rails,guldmann,gh3 250kg,27442,,2013-10-17,2018-04-25,25/04/17 Full service done by Tom.
474,2m x 4m on b/a  rails,guldmann,gh3 250kg,27460,,2013-10-17,2017-04-26,26/04/17 Full Service done by Krzys.
475,3m + 3.5m x 4m on b  rails,guldmann,gh3 250kg,27448,,2013-10-17,2018-04-25,25/04/17 Full service done by Tom.
476,4m x 6m on b  rails,guldmann,gh3 250kg,27415,,2013-10-17,2018-04-25,24/04/2017 thorough service carried out by Tom
477,3m + 3.5m x 4m on b/a  rails,guldmann,gh3 250kg,27446,,2013-10-17,2018-04-26,26/04/17 Full Service done by Krzys.
478,3m x 3m on b rails,guldmann,gh3 250kg,27429,,2013-10-17,2018-04-25,25/04/17 Full service done by Tom.
479,3m + 3.5m x 4m on b  rails,guldmann,gh3 250kg,27440,,2013-10-17,2018-04-26,24/05/2017 T-Bar replaced.
480,4m x 6m on b  rails,guldmann,gh3 250kg,27450,,2013-10-17,2016-04-05,5/4/2016 Thorough service carried out
481,3m + 3.5m x 4m on b  rails,guldmann,gh3 250kg,27433,,2013-10-17,2018-04-26,26/014/17 Full Service done by Krzys.
482,2m x 6m on c/a  rails,guldmann,gh3 250kg,27456,,2013-10-17,2018-04-26,24/05/2017 T-Bar replaced.
483,2m x 6m on b/a  rails,guldmann,gh3 250kg,27457,,2013-10-17,2018-04-26,24/05/2017 T-Bar replaced.
484,2m x 6m on c/a  rails,guldmann,gh3 250kg,27444,,2013-10-17,2018-04-26,26/04/17 Full Service done by Krzys.
485,4m x 6m on b  rails,guldmann,gh3 250kg,27459,,2013-10-17,2018-04-25,25/04/17 Full service done by Tom.
486,3m + 3.5m x 4m on b  rails,guldmann,gh3 250kg,27445,,2013-10-17,2018-04-26,24/05/2017 T-Bar replaced.
487,3m + 3.5m x 4m on b  rails,guldmann,gh3 250kg,27451,,2013-10-17,2014-04-17,
488,4m x 3m on b rails,guldmann,gh3 250kg,27453,,2013-10-17,2018-04-25,25/04/17 Full service done by Tom. Hoist taken dowbn and put in storage in room 134 ref Patricia Boland
489,2m x 5m on b / a rails,guldmann,gh3 250kg,27443,,2013-10-17,2018-04-25,25/04/17 Full service done by Tom.
490,3m x 4m on b rails,guldmann,gh3 250kg,27431,,2013-10-17,2018-04-26,26/04/17 Full service done by Tom.
491,3m + 3.5m x 4m on b  rails,guldmann,gh3 250kg,27436,,2013-10-17,2018-04-26,24/05/2017 T-Bar replaced.
492,3m x 3m on b rails,guldmann,gh3 250kg,27454,,2013-10-17,2018-04-25,25/04/17 Full service done by Tom. Hoist taken down and put into storage in room  134 ref Patricia Boland
493,3m + 3.5m x 4m on b/a  rails,guldmann,gh3 250kg,27449,,2013-10-17,2018-04-26,26/04/17 Full Service done by Krzys.
494,4m x 7m on b / c rails,guldmann,gh3 250kg,27430,,2013-10-17,2018-04-25,25/04/17 Full service done by Tom.
495,4m x 7m on b / c rails,guldmann,gh3 250kg,27447,,2013-10-17,2018-04-25,25/04/17 Full service done by Tom.
496,3m x 4m on b  rails,guldmann,gh3 250kg,29154,,2013-10-17,2018-04-26,26/04/17 Full Service done by Krzys.
497,3m x 3m on b rails,guldmann,gh3 250kg,27441,,2013-10-17,2018-04-25,25/04/17 Full service done by Tom.
498,3m x 3m on b rails,guldmann,gh3 250kg,27439,,2013-10-17,2018-04-25,25/04/17 Full service done by Tom.
499,3m + 3.5m x 4m on b  rails,guldmann,gh3 250kg,27437,,2013-10-17,2018-04-26,24/05/2017 T-Bar replaced.
500,3m x 3m on b rails,guldmann,gh3 250kg,27455,,2013-10-17,2018-04-25,25/04/17 Full service done by Tom.
501,2m x 6m on c/a  rails,guldmann,gh3 250kg,27452,,2013-10-17,2018-04-26,26/04/17 Full Service done by Krzys.
502,3m x 3m on b rails,guldmann,gh3 250kg,27458,,2013-10-17,2018-04-25,25/04/17 Full service done by Tom.
503,2m x 5m on b rails,guldmann,gh3 250kg,27443,,2013-10-17,2016-02-09,7/3/17 - system reset by computer - by Tom
504,2m x 6m on b/a  rails,guldmann,gh3 250kg,27452,,2013-10-17,2018-04-26,26/014/17 Full Service done by Krzys.
507,hoist,guldmann,gh2,56 -1000,,2005-07-28,2006-07-28,
512,bed,wi-bo,sentida,x,,2011-03-02,2012-03-01,
513,hoist,guldmann,gh2-dc,120001-4172-2005,,2005-12-05,2016-09-03,03/09/2015 - Thoroughly serviced and repaired hoist by replacing handset buy Ruiri
514,hoist,guldmann,gh2-dc,120001-4173-2005,,2005-11-06,,"03/09/2015 - Not repaired - Hoist not working, badly damaged and PC board needs replacing - Quote on new hoist"
515,bathtub,ropox,bathtub,99 -1000,,2006-04-07,2007-04-07,
516,nursing bed,wi-bo,sentida 6,20150258840001,,2015-11-26,2016-11-26,26/11/2015 Bed delivered and installed
517,hoist,guldmann,gh1,63998,2016-03-07,2015-09-07,2016-09-07,"19/12/16 Take spare Hoist s/n 30037 and fit new ""loan"" Hoist s/n 3009. s/n 3009 collected on 25/04/17 covers needed replaced.."
518,screens,eganmed,eganmed,,,,2017-07-29,6/7/2016 - Serviced and checked 18 screens
519,mobile hoist,beka,k2,0417.33.3.12,,,2015-06-05,"Mariusz Removed Spa from bath and replaced caps fixing with silicone, re fixed shower head bracket"
520,hoist,guldmann,gh1,79102,,2012-07-05,2013-07-05,
521,hoist,guldmann,gh1,79116,,2012-07-05,2013-07-05,
522,hoist,guldmann,gh1,79104,,2012-07-05,2013-07-05,
523,hoist,guldmann,gh1,79119,,2012-07-05,2013-07-05,
527,hoist,guldmann,gh2,120001-1155-2010,,2010-03-02,2012-02-02,
528,hoist,guldmann,gh2,120001-1164-2010,,2010-03-02,2012-02-02,
525,hoist,guldmann,gh2-dc,120001-1121-2010,,2010-03-02,2012-02-02,
526,bathtub,beka,k2,0284.38.09,,2009-11-12,2009-11-11,
524,bathtub,beka,k2,0284.33.09,,2009-11-12,2009-11-11,
529,hoist,guldmann,gh2,120001-3014-2010,,2010-07-13,2012-08-02,
530,bath,beka,beka k2,0304.51.09,,,2012-02-02,
531,hoist,guldmann,gh2-dc,120001-2911-2010,,2010-07-13,2012-02-02,
532,hoist,guldmann,gh2,120001-3205-2010,,2010-07-13,2012-02-02,
533,hoist,guldmann,gh2,120001-3108-2010,,2010-07-13,2012-02-02,
534,hoist,guldmann,gh2,120001-3158-2010,,2010-07-13,2013-04-01,
535,hoist,guldmann,gh2,120001-3195-2010,,2010-07-13,2012-02-02,
536,hoist,guldmann,gh2,120001-3123-2010,,2010-07-13,2012-02-02,
537,hoist,guldmann,gh2,120001-3190-2010,,2010-07-13,2012-02-02,
538,hoist,guldmann,gh2,120001-3200-2010,,2010-07-13,2012-02-02,
539,hoist,guldmann,gh2,120001-3140-2010,,2010-07-13,2012-02-02,
540,hoist,guldmann,gh2,120001-3187-2010,,2010-07-13,2012-02-02,
541,hoist,guldmann,gh2,120001-3137-2010,,2010-07-13,2012-02-02,
542,hoist,guldmann,gh2,120001-3119-2010,,2010-07-13,2012-02-02,
543,hoist,guldmann,gh2,120001-3150-2010,,2010-07-13,2012-02-02,
544,hoist,guldmann,gh2,120001-3174-2010,,2010-07-13,2012-02-02,
545,hoist,guldmann,gh2,120001-3185-2010,,2010-07-13,2012-02-02,
546,hoist,guldmann,gh2,120001-3112-2010,,2010-07-13,2012-02-02,
547,hoist,guldmann,gh2,120001-3169-2010,,2010-07-13,2012-02-02,
548,hoist,guldmann,gh2,120001-3201-2010,,2010-07-13,2012-02-02,
549,hoist,guldmann,gh2,120001-3197-2010,,2010-07-13,2012-02-02,
550,hoist,guldmann,gh2-dc,120001-2914-2010,,2010-07-13,2012-02-02,
551,hoist,guldmann,gh2,120001-3209-2010,,2010-07-13,2012-02-02,
552,hoist,guldmann,gh2,120001-3138-2010,,2010-07-13,2012-02-02,
553,hoist,guldmann,gh2,120001-3188-2010,,2010-07-13,2013-04-01,
554,hoist,guldmann,gh2,120001-3114-2010,,2010-07-13,2012-08-02,
555,hoist,guldmann,gh2,120001-3149-2010,,2010-07-13,2012-02-02,
556,hoist,guldmann,gh2,120001-3104-2010,,2010-07-13,2012-02-02,
557,hoist,guldmann,gh2,120001-3139-2010,,2010-07-13,2012-02-02,
558,bath,beka,beka k2,0303.51.09,,,2012-02-02,
559,hoist,guldmann,gh2,120001-3144-2010,,2010-07-13,2012-02-02,
560,hoist,guldmann,gh2,120001-3193-2010,,2010-07-13,2012-02-02,
561,hoist,guldmann,gh2,120001-3191-2010,,2010-07-13,2012-08-02,
562,hoist,guldmann,gh2,120001-3155-2010,,2010-07-13,2012-02-02,
563,hoist,guldmann,gh2,120001-3168-2010,,2010-07-13,2012-02-02,
564,hoist,guldmann,gh2,120001-3107-2010,,2010-07-13,2012-02-02,
565,hoist,guldmann,gh2,120001-3163-2010,,2010-07-13,2012-02-02,
566,hoist,guldmann,gh2,120001-3156-2010,,2010-07-13,2013-04-01,
567,hoist,guldmann,gh2,120001-3175-2010,,2010-07-13,2012-02-02,
568,hoist,guldmann,gh2,120001-3120-2010,,2010-07-13,2012-02-02,
569,hoist,guldmann,gh2,120001-3162-2010,,2010-07-13,2012-02-02,
570,hoist,guldmann,gh2,120001-3109-2010,,2010-07-13,2012-02-02,
571,hoist,guldmann,gh2,120001-3117-2010,,2010-07-13,2012-02-02,
572,hoist,guldmann,gh2,120001-3198-2010,,2010-07-13,2012-02-02,
573,hoist,guldmann,gh2,120001-3173-2010,,2010-07-13,2012-02-02,
574,hoist,guldmann,gh2,120001-3141-2010,,2010-07-13,2012-02-02,
575,hoist,guldmann,gh2,120001-3118-2010,,2010-07-13,2012-02-02,
576,hoist,guldmann,gh2,120001-3146-2010,,2010-07-13,2012-02-02,
577,hoist,guldmann,gh2,120001-3184-2010,,2010-07-13,2012-02-02,
578,hoist,guldmann,gh2,120001-3106-2010,,2010-07-13,2012-02-02,
579,hoist,guldmann,gh2,120001-3110-2010,,2010-07-13,2012-02-02,
580,hoist,guldmann,gh2,120001-3172-2010,,2010-07-13,2012-02-02,
581,hoist,guldmann,gh2-dc,120001-2910-2010,,2010-07-13,2012-02-02,
582,hoist,guldmann,gh2,120001-3160-2010,,2010-07-13,2012-02-02,
583,hoist,guldmann,gh2,120001-3122-2010,,2010-07-13,2012-02-02,
584,hoist,guldmann,gh2,120001-3154-2010,,2010-07-13,2012-08-02,
585,hoist,guldmann,gh2,120001-3186-2010,,2010-07-13,2012-02-02,
586,hoist,guldmann,gh2,120001-3113-2010,,2010-07-13,2012-02-02,
587,hoist,guldmann,gh2,120001-3196-2010,,2010-07-13,2012-02-02,
588,hoist,guldmann,gh2,120001-3171-2010,,2010-07-13,2012-02-02,
589,hoist,guldmann,gh2,120001-3019-2010,,2010-07-13,2012-02-02,
590,hoist,guldmann,gh2,120001-3204-2010,,2010-07-13,2012-02-02,
591,hoist,guldmann,gh2,120001-3145-2010,,2010-07-13,2012-02-02,
592,hoist,guldmann,gh2,120001-3166-2010,,2010-07-13,2012-02-02,
593,hoist,guldmann,gh2,120001-3143-2010,,2010-07-13,2012-02-02,
594,hoist,guldmann,gh2,120001-3202-2010,,2010-07-13,2012-02-02,
595,hoist,guldmann,gh2,120001-3152-2010,,2010-07-13,2012-02-02,
596,hoist,guldmann,gh2,120001-3206-2010,,2010-07-13,2012-02-02,
597,hoist,guldmann,gh2,120001-3169-2010,,2010-07-13,2012-02-02,
598,hoist,guldmann,gh2,120001-3157-2010,,2010-07-13,2012-02-02,
599,hoist,guldmann,gh2,120001-3153-2010,,2010-07-13,2012-02-02,
600,hoist,guldmann,gh2,120001-3115-2010,,2010-07-13,2012-02-02,
601,hoist,guldmann,gh2,120001-3208-2010,,2010-07-13,2012-02-02,
602,hoist,guldmann,gh2,120001-3194-2010,,2010-07-13,2012-02-02,
603,hoist,guldmann,gh2,120001-3105-2010,,2010-07-13,2012-02-02,
604,hoist,guldmann,gh2,120001-3203-2010,,2010-07-13,2012-02-02,
605,bath,beka,beka k2,0302.51.09,,,2012-02-02,
606,hoist,guldmann,gh2,120001-3167-2010,,2010-07-13,2012-02-02,
607,hoist,guldmann,gh2,120001-3116-2010,,2010-07-13,2012-02-02,
608,hoist,guldmann,gh2,120001-3161-2010,,2010-07-13,2012-02-02,
609,hoist,guldmann,gh2,120001-3142-2010,,2010-07-13,2012-02-02,
610,hoist,guldmann,gh2,120001-3207-2010,,2010-07-13,2012-02-02,
611,hoist,guldmann,gh2,120001-3151-2010,,2010-07-13,2012-02-02,
612,hoist,guldmann,gh2,120001-3176-2010,,2010-07-13,2012-02-02,
613,hoist,guldmann,gh2,120001-3136-2010,,2010-07-13,2012-02-02,
614,hoist,guldmann,gh2,120001-3147-2010,,2010-07-13,2012-02-02,
615,hoist,guldmann,gh2-dc,120001-2913-2010,,2010-07-13,2012-02-02,
616,hoist,guldmann,gh2,120001-3020-2010,,2010-07-13,2012-02-02,
